Date,Predicted_Sales,Lower_Bound,Upper_Bound
2005-06-01,37102.86332502864,8764.42181316395,67407.58601664181
2005-06-02,41300.56397995941,11555.740451667063,71998.80767554387
2005-06-03,39130.38379868743,11355.757333977515,68774.71799364756
2005-06-04,23156.934698651465,-1819.6969997686738,52862.10378307836
2005-06-05,44046.23654588435,14753.623117311332,74438.19937565754
2005-06-06,31807.168320940335,2932.25785378692,61199.9053489078
2005-06-07,39783.8552761363,10769.67706173483,68554.89138220715
2005-06-08,36064.3329293957,7702.664102248823,65503.88912996086
2005-06-09,40232.82735650741,11262.06946356764,68762.05856415184
2005-06-10,38000.265054101765,9336.000245195024,66092.20799018293
2005-06-11,21932.742767899013,-7202.007858799987,52908.10293557036
2005-06-12,42699.30725419105,13193.024649359639,69453.06385819658
2005-06-13,30313.31538707196,-753.9958823350879,58029.71802449052
2005-06-14,38124.68137021991,8684.62931513363,66210.24990713
2005-06-15,34228.356057055265,5577.79042586117,62201.75438765763
2005-06-16,38216.38338906239,10552.057288715903,68504.48984079572
2005-06-17,35808.15400262161,7451.368982973813,65224.03605467144
2005-06-18,19578.59420196124,-8110.909588643858,47711.342901866126
2005-06-19,40205.64886634458,12121.739890692206,70668.88207057165
2005-06-20,27711.337843096586,-344.36528416184916,56723.08998539077
2005-06-21,35453.70199078324,6959.771705567038,64052.096481420194
2005-06-22,31534.993267347956,1209.4124973679616,59345.33729034832
2005-06-23,35553.46296748388,4971.18273887632,64600.04226436832
2005-06-24,33233.376682427726,3316.207648915242,60921.651019439465
2005-06-25,17153.001875726834,-11935.664860356044,46783.4021829762
2005-06-26,37991.9332739623,8312.707727077866,66883.66830946009
2005-06-27,25772.04098952862,-3474.707731034768,54429.20749085221
2005-06-28,33849.36147134891,3595.7297252901194,64267.95124109067
2005-06-29,30322.288050121373,3228.7630144754853,61698.14383501637
2005-06-30,34783.41591667045,5168.607113843392,63851.79060270492
2005-07-01,32949.6691679972,4097.605895856917,61467.70929471754
2005-07-02,17390.45322359187,-12928.563765698405,44740.39200488605
2005-07-03,38775.193631868075,8237.986210537743,67673.32196573658
2005-07-04,27114.540527798817,-863.2035697733972,59250.64897588386
2005-07-05,35752.55186322542,7819.602158979802,63524.080454358584
2005-07-06,32775.20407798959,4184.922543314331,60732.18963390074
2005-07-07,37762.5760560009,10299.73050707304,67303.14971681165
2005-07-08,36419.324369665665,8526.784847974768,66615.51854774385
2005-07-09,21303.18311892036,-10159.185436869959,51621.28890356651
2005-07-10,43072.83931551253,12051.127956104961,72673.08324181738
2005-07-11,31729.45321991589,-364.18795654645913,60494.55003001114
2005-07-12,40609.127400198304,11632.897521491113,69350.13716293506
2005-07-13,37791.66460613558,7508.412778452633,66535.18309415232
2005-07-14,42852.95275342737,13349.231285444259,73292.4625588684
2005-07-15,41495.5887249887,13861.115023153596,71630.69629102026
2005-07-16,26277.46943652075,-1755.472079460154,56323.5165539548
2005-07-17,47859.697846307885,18191.451617388764,77249.08893260345
2005-07-18,36248.07173682958,6555.390756376082,66140.45345319953
2005-07-19,44785.459202861224,15784.104639014107,74165.05392942119
2005-07-20,41560.4028562617,12099.068935052252,70243.97044502384
2005-07-21,46159.29466835914,18342.375553607806,75296.60221457928
2005-07-22,44296.73839484621,15917.208130454244,72919.70045702929
2005-07-23,28543.834748401998,-580.607201135828,56467.162700238754
2005-07-24,49575.74500866462,20749.824710463072,78289.51544330516
2005-07-25,37412.80998537367,8621.25582165854,68001.24244925987
2005-07-26,45412.53818514276,16744.196581895958,75921.85174684855
2005-07-27,41677.81566206305,10954.052839855496,70718.59097037745
2005-07-28,45808.69020826129,16281.992405167965,75162.54877219268
2005-07-29,43532.3575327687,13787.83474968023,73081.0981964913
2005-07-30,27431.09496611041,-3270.2459694728655,55189.49289009031
2005-07-31,48189.50813700194,18401.005696822187,75225.44535510695
2005-08-01,35835.376400474495,9432.30107443852,65932.68975389845
2005-08-02,43731.41859811166,14138.97724043682,73026.5274544406
2005-08-03,39983.33800434275,11414.425016510106,68372.98849025131
2005-08-04,44191.503959375565,15641.817137211518,73729.24980532507
2005-08-05,42080.90101407332,10972.15168846893,70633.26197719768
2005-08-06,26229.092542315797,-3127.106196632149,54380.422567793066
2005-08-07,47313.56388832888,18724.310463946167,76932.30229178247
2005-08-08,35352.72865902363,7729.817749657021,64261.92442267056
2005-08-09,43697.91583881766,15710.102145065055,72826.48127842961
2005-08-10,40441.691052696544,13316.070817095933,69642.72788989622
2005-08-11,45169.86247119131,17446.791491365177,78928.85491483865
2005-08-12,43591.79388936671,15315.23386228413,72990.63457232123
2005-08-13,28268.7625806301,-924.6430387337143,57292.92465955349
2005-08-14,49861.71682791534,21024.25883104793,77951.54308560459
2005-08-15,38372.706046494895,7003.256841275021,65212.20365485973
2005-08-16,47137.29023184408,17081.931495506407,74264.45012603213
2005-08-17,44233.27116524082,14663.40193018586,74751.58863446597
2005-08-18,49233.08531606331,19121.443102137895,78106.13115869436
2005-08-19,47834.47103921405,19934.887081095694,74886.3180641209
2005-08-20,32589.13861785857,1287.382250161448,60888.09383865864
2005-08-21,54150.79012181164,24721.977529839012,81408.24228623045
2005-08-22,42516.7553880557,12014.288372541727,71877.13723456234
2005-08-23,51020.54574082141,22157.737383521544,81235.84785881633
2005-08-24,47740.664384174306,18361.46082517474,76902.38120560008
2005-08-25,52253.011605376196,23078.728965738075,81675.69052883174
2005-08-26,50261.49731748024,20618.651357833176,80032.33805820746
2005-08-27,34326.591141928264,6687.697876391801,61156.82158494455
2005-08-28,55113.16031129898,23955.880305028455,85524.91653579086
2005-08-29,42631.866562690506,13705.069943161945,72348.3927205443
